"Part","Qty"
"[mm]_Selector_Door_Carrot_Leaf_2.STL",1
"[mm]_Selector_Door_Carrot_Leaf_3.STL",1
"[o]_Diffuser_Mask.STL",1
"[o]_Encoder_Slotted_Wheel.STL (1)",1
"_1. Gear Box Part 1",1
"_1.1 2020 Extrusion",1
"_1.2 Gear Box",1
"_1.3 Hatch",1
"_1.4 Side Latches",1
"_2 Motor Mount and Drive Shaft",1
"_2.1A Big NEMA17 Direct Drive",1
"_2.2 LED Logo",1
"_2.3A Direct Drive Shaft",1
"_3. Filament Blocks",1
"_3.1_[a]_Tophat_xN",8
"_3.2_Base_xN",8
"_3.3_[a]_Latch_xN",8
"_3.4_Filament_Path_xN",8
"_3.5_[a]_Trap_M3x3",8
"_4. Gear Box Part 2",1
"_4.1 Gear Box Top Panel",1
"_4.2_Gear_Box_Foot",1
"_4.3_Endstop Microswitch (1)",1
"_4.4A Apron CoaS LEDs",1
"_5. End_Block",1
"_5.1 End_Block",1
"_5.2_[a]_Bypass.STL (1)",1
"_5mm Split Coupler",1
"_6. Selector",1
"_6.1 Selector Cart",1
"_6.2 Drag Chain Anchor",1
"_6.3B Savox Servo Option",1
"_6.4 Selector Door",1
"_7 Encoder",1
"_7.1A Encoder for v623Z Bearing with Exit LED",1
"_7.2 Encoder Right (3)",1
"_7.3 Encoder Left (3)",1
"_8. Linear Axis",1
"_8.1 Linear Axis Selector Motor Support",1
"_8.2 Linear Axis Idler Block",1
"_8.3 GT2 6mm Belt",1
"_9. Final Assembly",1
"_9.1 Linear Axis Drag Chain",1
"_Base",1
"_Drag Chain Anchor Bottom",1
"_ERCF V2 RC2",1
"_Fasteners",1
"_Fasteners (1)",1
"_Fasteners (10)",1
"_Fasteners (11)",1
"_Fasteners (14)",1
"_Fasteners (17)",1
"_Fasteners (18)",1
"_Fasteners (19)",1
"_Fasteners (2)",1
"_Fasteners (22)",1
"_Fasteners (24)",1
"_Fasteners (26)",1
"_Fasteners (29)",1
"_Fasteners (30)",1
"_Fasteners (33)",1
"_Fasteners (39)",1
"_Fasteners (4)",1
"_Fasteners (41)",1
"_Fasteners (5)",1
"_Fasteners (7)",1
"_Fasteners (8)",1
"_Fasteners (9)",1
"_Filament Block",8
"_Hardware (1)",1
"_Hardware (26)",1
"_Hardware (28)",1
"_LDO-42STH47-1684AC",1
"_LED Apron Segment",2
"_Lid.stl",1
"_MMBv2_Box",1
"_Tag_Plates",16
"_[mm] Carrot Sigil",1
"rgbw_led_pcb",2
